campaign,day_since_install,active_users,ad_revenue,iap_revenue,time_spent_min,installs,retention_rate,arpdau
ASA_Broad_Card,0,422,83.977,18.227872964284696,24.04969194312796,479,0.8810020876826722,0.24219164209546137
ASA_Broad_Card,1,182,32.278999999999996,4.2636800305526945,22.213626373626376,479,0.37995824634655534,0.20078395621182796
ASA_Broad_Card,2,132,28.89,0.0,26.55189393939394,479,0.2755741127348643,0.21886363636363637
ASA_Broad_Card,3,112,23.402,2.5505180142684956,24.96848214285714,479,0.23382045929018788,0.231718910841683
ASA_Broad_Card,4,85,15.718,0.0,23.744470588235295,479,0.17745302713987474,0.18491764705882352
ASA_Broad_Card,5,76,17.246,0.0,27.475394736842105,479,0.15866388308977036,0.22692105263157894
ASA_Broad_Card,6,74,12.294,0.0,21.721891891891893,479,0.1544885177453027,0.16613513513513514
ASA_Broad_Card,7,52,12.632,0.0,27.37076923076923,479,0.10855949895615867,0.2429230769230769
ASA_Broad_Card,8,64,11.703,0.0,22.4153125,479,0.1336116910229645,0.182859375
ASA_Broad_Card,9,61,12.469,0.0,23.84,479,0.12734864300626306,0.20440983606557375
ASA_Broad_Card,10,46,9.907,1.2688506704149805,26.17478260869565,479,0.09603340292275574,0.24295327544380393
ASA_Broad_Card,11,36,6.779,0.0,24.014166666666668,479,0.07515657620041753,0.18830555555555556
ASA_Broad_Card,12,40,8.719,0.0,27.4315,479,0.08350730688935282,0.21797499999999997
ASA_Broad_Card,13,40,6.884,2.5505180142684956,21.45225,479,0.08350730688935282,0.2358629503567124
ASA_Broad_Card,14,31,3.872,0.0,15.019032258064517,479,0.06471816283924843,0.1249032258064516
ASA_Broad_Card,15,43,7.441,0.0,21.913720930232557,479,0.08977035490605428,0.17304651162790696
ASA_Broad_Card,16,26,3.741,0.0,19.458846153846153,479,0.054279749478079335,0.1438846153846154
ASA_Broad_Card,17,25,5.462,0.8459004469433202,23.1812,479,0.05219206680584551,0.2523160178777328
ASA_Broad_Card,18,22,4.357,0.0,23.75181818181818,479,0.04592901878914405,0.19804545454545455
ASA_Broad_Card,19,29,5.156,0.0,22.28896551724138,479,0.060542797494780795,0.17779310344827584
ASA_Broad_Card,20,31,6.664,0.0,27.07483870967742,479,0.06471816283924843,0.21496774193548387
ASA_Broad_Card,21,42,8.614,0.0,24.06095238095238,479,0.08768267223382047,0.2050952380952381
ASA_Broad_Card,22,21,3.9000000000000004,1.7003453428456639,24.215714285714288,479,0.04384133611691023,0.2666831115640792
ASA_Broad_Card,23,18,2.851,0.0,21.376666666666665,479,0.037578288100208766,0.15838888888888888
ASA_Broad_Card,24,14,3.09,0.0,30.339285714285715,479,0.029227557411273485,0.2207142857142857
ASA_Broad_Card,25,26,6.765,0.0,30.334615384615386,479,0.054279749478079335,0.26019230769230767
ASA_Broad_Card,26,13,2.919,0.0,24.279230769230768,479,0.027139874739039668,0.22453846153846155
ASA_Broad_Card,27,18,3.708,0.0,25.33388888888889,479,0.037578288100208766,0.20600000000000002
ASA_Broad_Card,28,15,4.0809999999999995,0.0,31.113999999999997,479,0.031315240083507306,0.2720666666666666
ASA_Broad_Card,29,23,3.736,0.0,20.991739130434784,479,0.04801670146137787,0.16243478260869565
ASA_Broad_Card,30,21,3.911,0.0,21.803809523809523,479,0.04384133611691023,0.18623809523809523
